Priority,Story_ID,Story_Text,Dependencies,Created_Date,Ready_Date,Start_Date
1,Story 141,"As a receptionist, I want to register emergency patients quickly so that treatment is not delayed.","Story 144, Story 120",20/06/2026,02/07/2026,06/07/2026
2,Story 13,"As a patient, I want to update my contact information so that records remain accurate.",Story 96,15/12/2026,21/12/2026,24/12/2026
3,Story 45,"As a patient, I want to view appointment history so that I can track visits.",Story 136,22/06/2026,13/07/2026,20/07/2026
4,Story 87,"As a patient, I want to view insurance coverage details.",,25/07/2026,28/07/2026,02/08/2026
5,Story 113,"As an administrator, I want laboratory performance reports.","Story 90, Story 29",01/09/2026,13/09/2026,17/09/2026
6,Story 42,"As a patient, I want appointment reminders so that I do not miss visits.",,03/11/2026,24/11/2026,27/11/2026
7,Story 44,"As a receptionist, I want to check patients out after consultations.",,06/01/2027,21/01/2027,26/01/2027
8,Story 46,"As an administrator, I want appointment utilization reports so that efficiency can be measured.",Story 148,24/12/2026,08/01/2027,13/01/2027
9,Story 72,"As a patient, I want notifications when results are available.",,30/12/2026,08/01/2027,09/01/2027
10,Story 81,"As an administrator, I want pharmacy inventory reports.",Story 132,29/09/2026,04/10/2026,09/10/2026
11,Story 82,"As a patient, I want medication reminders.",,28/10/2026,18/11/2026,24/11/2026
12,Story 12,"As a receptionist, I want to register new patients so that they can receive treatment.",,08/06/2026,18/06/2026,19/06/2026
13,Story 31,"As a doctor, I want to update consultation notes so that patient records remain accurate.","Story 24, Story 40",29/11/2026,05/12/2026,12/12/2026
14,Story 18,"As a patient, I want to view my visit history so that I can track my treatments.",,16/08/2026,28/08/2026,30/08/2026
15,Story 23,"As a patient, I want to view my insurance information so that I understand my coverage.",,28/07/2026,03/08/2026,09/08/2026
16,Story 35,"As an administrator, I want doctor performance reports so that service quality can be evaluated.",,28/10/2026,18/11/2026,20/11/2026
17,Story 71,"As an administrator, I want laboratory workload reports.",Story 94,13/08/2026,17/08/2026,20/08/2026
